# GENERATED - edit the YAML, not this file
row_id,component,error_kind,quantity,statistic,value,units,value_low,value_high,uncertainty_type,n,sd_mg_c_ha,cv_pct,harmonization_method,harmonization_note,reference_stock_mg_c_ha,mean_dependent,bias_direction,bias_direction_reasoning,land_use,management,climate,koppen,soil_texture,soil_group,country_region,depth_top_cm,depth_bottom_cm,depth_basis,site_stock_mg_c_ha,site_soc_pct,analytical_method,bd_method,support_note,spatial_extent_m,temporal_extent_months,citation,doi_or_url,locator,access,verification,extracted_on,in_scope,use_as,osse_distribution,superseded_by,notes
VC-ANA-001,analytical,random,"Analytical error of SOC determination, from the deviation between two technical replicates of each milled sample (dry combustion).",mae,1.0,pct,,,not_reported,16,,1.25,mae_to_sd_gaussian,"Source reports a mean absolute percentage error of about 1%. Converted to a standard deviation assuming the replicate deviations are normally distributed with zero mean, so SD = MAE * sqrt(pi/2) = MAE * 1.2533, giving CV = 1.25%. If the replicate error is heavier-tailed than normal this UNDERSTATES the SD. Left in relative units; no absolute SD is given because analytical error scales with SOC concentration, not with stock.",,false,deflates,"Understates on two independent counts. (1) The MAE-to-SD conversion assumes normality; replicate errors with heavier tails would give a larger SD (D-003). (2) More importantly, the source quantified this from two technical replicates of the SAME milled aliquot, which excludes subsampling and sample-preparation error entirely. VC-ANA-004 shows processing error can dwarf instrument error, so 1% is the narrowest possible slice of 'analytical error'.",cropland,mixed,temperate maritime to continental,Cfb,sand to clay loam,"Cambisol, Luvisol, Gleysol, Anthrosol, Pelosol, Colluvisol",northeast Germany,0,30,fixed_depth,,,dry_combustion,core,"milled aliquots, two technical replicates per sample, default per measurement",,,"Poeplau, C., Prietz, R., & Don, A. (2022). Plot-scale variability of organic carbon in temperate agricultural soils - Implications for soil monitoring. Journal of Plant Nutrition and Soil Science. (Volume and page numbers of the version of record are UNCONFIRMED; the copy held locally is the accepted manuscript, paginated 1-14. The DOI is authoritative.)",https://doi.org/10.1002/jpln.202100393,"Section 4 (Discussion), sentence beginning 'In accordance with Goidts et al. (2009), we found the analytical error to be a negligible source of uncertainty'",paywalled,verified_fulltext,2026-08-07,true,baseline,"normal(0, 0.0125 * soc_concentration)",,"Verified from an open-access copy of the accepted manuscript retrieved via the German National Library (d-nb.info/125318657X/34). Publisher version is paywalled. This is the smallest of the six components by a wide margin, which is itself the finding: lab error is not what limits detectability."
VC-ANA-002,analytical,random,Analytical error of elemental analysis for SOC content in European agricultural soils.,cv_pct,2.5,pct,2.0,3.0,range_across_studies,,,2.5,reported_directly,"Used as printed, as a relative SD on SOC concentration. NOT converted to an absolute stock error: doing so would require a mean stock and would make the row mean-dependent for no analytical gain.",,false,unknown,"No defensible direction. The value was read in a citing source rather than the original, and that citing source quotes it inconsistently ('2-3%' in one place, '2.5%' in another). Without the original we do not know which error terms the figure comprises - instrument only, or instrument plus subsampling - and those two readings sit on opposite sides of the truth. Resolvable by reading Saby et al.",cropland,mixed,temperate,Cfb,,,Europe,0,30,fixed_depth,,,dry_combustion,,plots of 1-400 m2,,,"Saby, N. P. A., Bellamy, P. H., Morvan, X., Arrouays, D., Jones, R. J. A., Verheijen, F. G. A., Kibblewhite, M. G., Verdoodt, A., Uveges, J. B., Freudenschuss, A., & Simota, C. (2008). Will European soil monitoring networks be able to detect changes in topsoil organic carbon content? Global Change Biology, 14(10), 2432-2442.",https://doi.org/10.1111/j.1365-2486.2008.01658.x,"cited in Poeplau et al. (2022), Section 1 and Section 4",paywalled,verified_secondary,2026-08-07,true,sensitivity_high,"normal(0, 0.025 * soc_concentration)",,"NUMBER READ IN A CITING SOURCE, NOT THE ORIGINAL. Poeplau et al. (2022) quote it twice with slightly different framing ('2-3%' in one place, '2.5%' in another). Needs the Saby et al. PDF before promotion to baseline."
VC-ANA-003,analytical,systematic,"Underestimation of SOC concentration when samples are air-dried rather than oven-dried at 105 C, caused by residual moisture diluting carbon.",bias_pct,5.0,pct,,,not_reported,,,,reported_directly,"Directional bias, recorded as printed. Deliberately carries NO harmonised SD: a bias must never be summed into a variance budget (rule R9). In the OSSE this belongs as a multiplicative offset on the measurement operator, applied only when the protocol specifies air-drying.",,false,unknown,"No defensible direction for our scope. The 5% air-drying offset was measured over 0-20 cm on a population pooling cropland with pasture, rangeland and prairie; we need 0-30 cm cropland. Residual-moisture bias depends on texture and clay content, which differ across that pooled population in ways the source does not resolve, so the transfer error cannot be signed either way.",multiple,mixed,temperate continental,,,,central United States,0,20,fixed_depth,,,dry_combustion,,"12 agricultural sites; cropland, pasture, rangeland, tallgrass prairie",,,"Even, R. J., Machmuller, M. B., Lavallee, J. M., Zelikova, T. J., & Cotrufo, M. F. (2025). Large errors in soil carbon measurements attributed to inconsistent sample processing. SOIL, 11, 17-34.",https://doi.org/10.5194/soil-11-17-2025,"Results, sample-drying comparison (air-dried vs 105 C)",open_access,verified_fulltext,2026-08-07,false,sensitivity_high,multiplicative_offset(-0.05),,"in_scope false on two counts: the depth interval is 0-20 cm, not 0-30 cm, and the population pools cropland with pasture, rangeland and prairie. The 0-20 cm depth was inferred from the sampling description and should be confirmed against the methods section before this row is relied on."
VC-ANA-004,analytical,random,"Between-replicate SD of SOC stock introduced by mechanical grinding of a high-rock-content soil, relative to gentler processing.",sd,15.0,Mg_C_ha,,,not_reported,,15.0,53.8,absolute_to_pct_via_stock,"SD used as printed. CV computed as 15.0 / 27.9 = 53.8% using the mean SOC stock of 27.9 Mg C/ha that the source reports FOR THE SAME SOIL, so the reference stock is internal to the source rather than assumed by us. This is still flagged mean_dependent because the relative figure would move if that mean were revised.",27.9,true,inflates,"Explicitly a worst case, not a typical value: a high-rock-content soil combined with an aggressive mechanical grinder. Both factors independently raise the between-replicate SD, and neither is representative of a well-run protocol on temperate cropland topsoil. Retained to bound the component, and it will overstate analytical variance wherever processing is held constant.",multiple,mixed,temperate continental,,,,central United States,0,20,fixed_depth,,,dry_combustion,,"soil 'H', high rock content; mechanical grinder vs hand processing",,,"Even, R. J., Machmuller, M. B., Lavallee, J. M., Zelikova, T. J., & Cotrufo, M. F. (2025). Large errors in soil carbon measurements attributed to inconsistent sample processing. SOIL, 11, 17-34.",https://doi.org/10.5194/soil-11-17-2025,"Results, grinding-method comparison for soil H",open_access,verified_fulltext,2026-08-07,false,sensitivity_high,"normal(0, 15.0)",,"Worst-case anchor, not a typical value. High rock content and an aggressive grinder. Retained because it shows that 'analytical error' is small ONLY when sample processing is held constant - the protocol, not the instrument, is the risk. Directly contradicts treating component 1 as negligible."
VC-WPS-001,within_plot_spatial,random,"Coefficient of variation of SOC stock among 16 soil cores within a 20 x 20 m cropland plot, 0-10 cm.",cv_pct,9.3,pct,5.8,12.8,sd_of_estimate,8,,9.3,reported_directly,"Used as printed. The reported +/- 3.5 is the SD of the site-level CV across the 8 cropland sites, NOT a confidence interval on the mean CV; value_low and value_high are value -/+ that SD and must not be read as a 95% CI. No absolute SD is given here because that conversion needs a mean stock and would make the row mean-dependent.",,false,inflates,"Each of the 16 cores is a single measurement carrying its own analytical and subsampling error, so the among-core CV is spatial variance PLUS analytical variance, not pure spatial variance. It is therefore an upper bound on the within-plot spatial term. The inflation is small here - VC- ANA-001 puts analytical CV near 1.25% against a 9.3% total - but it is one-directional.",cropland,mixed,temperate maritime to continental,Cfb,sand to clay loam,"Cambisol, Luvisol, Gleysol, Anthrosol",northeast Germany,0,10,fixed_depth,,,dry_combustion,core,"16 cores per site, 6.7 cm diameter corer, 20 x 20 m plot, max pair distance 28.28 m",20.0,,"Poeplau, C., Prietz, R., & Don, A. (2022). Plot-scale variability of organic carbon in temperate agricultural soils - Implications for soil monitoring. Journal of Plant Nutrition and Soil Science. (Volume and page numbers of the version of record are UNCONFIRMED; the copy held locally is the accepted manuscript, paginated 1-14. The DOI is authoritative.)",https://doi.org/10.1002/jpln.202100393,"Table 4, SOC stock column, cropland, 0-10 cm depth row",paywalled,verified_fulltext,2026-08-07,true,baseline,"normal(0, 0.093 * plot_mean_stock)",,"This is the cleanest in-scope within-plot anchor in the table: temperate cropland, fixed depth, explicit support, explicit plot size."
VC-WPS-002,within_plot_spatial,random,"Coefficient of variation of SOC stock among 16 soil cores within a 20 x 20 m cropland plot, 10-30 cm.",cv_pct,10.2,pct,5.9,14.5,sd_of_estimate,8,,10.2,reported_directly,"As VC-WPS-001. The +/- 4.3 is the across-site SD of the CV, not a CI. Note this layer is 20 cm thick while VC-WPS-001 is 10 cm thick; the two CVs cannot be averaged to obtain a 0-30 cm CV without the covariance between layers, which the source does not report. See gap G2.",,false,inflates,Same mechanism as VC-WPS-001: among-core variance confounds spatial with analytical error and so bounds the spatial term from above rather than estimating it. Same small magnitude of inflation.,cropland,mixed,temperate maritime to continental,Cfb,sand to clay loam,"Cambisol, Luvisol, Gleysol, Anthrosol",northeast Germany,10,30,fixed_depth,,,dry_combustion,core,"16 cores per site, 6.7 cm diameter corer, 20 x 20 m plot",20.0,,"Poeplau, C., Prietz, R., & Don, A. (2022). Plot-scale variability of organic carbon in temperate agricultural soils - Implications for soil monitoring. Journal of Plant Nutrition and Soil Science. (Volume and page numbers of the version of record are UNCONFIRMED; the copy held locally is the accepted manuscript, paginated 1-14. The DOI is authoritative.)",https://doi.org/10.1002/jpln.202100393,"Table 4, SOC stock column, cropland, 10-30 cm depth row",paywalled,verified_fulltext,2026-08-07,true,baseline,"normal(0, 0.102 * plot_mean_stock)",,"Within-plot CV is essentially flat with depth over 0-30 cm (9.3 -> 10.2), then jumps to 25.8% at 30-50 cm. Useful: the topsoil scope avoids the depth interval where within-plot variance explodes."
VC-WPS-003,within_plot_spatial,random,"Coefficient of variation of SOC stock among 16 cores within a 20 x 20 m GRASSLAND plot, 0-10 and 10-30 cm, retained for contrast with cropland.",cv_pct,10.1,pct,10.1,14.5,range_across_sites,8,,10.1,reported_directly,"value is the 0-10 cm grassland CV; value_high is the 10-30 cm grassland CV (14.5%). Recorded as a single contrast row rather than two, because it is never used for parameterisation - only to show how much land use moves the within-plot term.",,false,inflates,"Grassland within-plot CV exceeds cropland at every depth in the same study (10.1 vs 9.3 at 0-10 cm; 14.5 vs 10.2 at 10-30 cm), because tillage homogenises cropland topsoil and permanent swards do not. Borrowing this for cropland would overstate the within-plot term. Retained only as contrast.",grassland,"pasture, meadow, green fallow",temperate maritime to continental,Cfb,,,northeast Germany,0,30,fixed_depth,,,dry_combustion,core,"16 cores per site, 20 x 20 m plot",20.0,,"Poeplau, C., Prietz, R., & Don, A. (2022). Plot-scale variability of organic carbon in temperate agricultural soils - Implications for soil monitoring. Journal of Plant Nutrition and Soil Science. (Volume and page numbers of the version of record are UNCONFIRMED; the copy held locally is the accepted manuscript, paginated 1-14. The DOI is authoritative.)",https://doi.org/10.1002/jpln.202100393,"Table 4, SOC stock column, grassland rows",paywalled,verified_fulltext,2026-08-07,false,out_of_scope_reference,,,Grassland within-plot variance runs about 10-40% higher than cropland at the same depth. Quantifies the penalty for borrowing across land use.
VC-WPS-004,within_plot_spatial,random,Median plot-scale CV of SOC CONTENT for plots of 1-400 m2 in European agricultural topsoils.,cv_pct,3.4,pct,3.0,4.0,range_across_studies,,,3.4,reported_directly,"CRITICAL CAVEAT: this is the CV of SOC CONCENTRATION, not of SOC STOCK. Stock CV is larger because it compounds concentration variance with bulk density variance. It is therefore NOT directly comparable to VC-WPS-001/002, which are stock CVs. Recorded unconverted; converting would require the concentration-density covariance, which is not reported.",,false,deflates,"Understates on two counts. (1) It is a CV of SOC CONCENTRATION; stock CV compounds concentration variance with bulk-density variance and is larger (D-020 puts the gap near threefold against Poeplau's directly measured stock CV). (2) The plots span 1-400 m2, many far smaller than the 400 m2 plots of VC-WPS-001/002, and spatial variance grows with support area.",cropland,mixed,temperate,Cfb,,,Europe,0,30,fixed_depth,,,dry_combustion,,"plots of 1-400 m2, various land uses",20.0,,"Saby, N. P. A., Bellamy, P. H., Morvan, X., Arrouays, D., Jones, R. J. A., Verheijen, F. G. A., Kibblewhite, M. G., Verdoodt, A., Uveges, J. B., Freudenschuss, A., & Simota, C. (2008). Will European soil monitoring networks be able to detect changes in topsoil organic carbon content? Global Change Biology, 14(10), 2432-2442.",https://doi.org/10.1111/j.1365-2486.2008.01658.x,"cited in Poeplau et al. (2022), Section 4 (Discussion)",paywalled,verified_secondary,2026-08-07,true,sensitivity_low,,,"NUMBER READ IN A CITING SOURCE, NOT THE ORIGINAL. Poeplau et al. explicitly flag that their own cropland figure (about 8% for SOC content) is more than double this. That factor-of-two disagreement between two European cropland studies is the honest width of the within-plot term and should be carried into Phase 1 as a range, not resolved by picking a favourite."
VC-BPS-001,between_plot_spatial,random,Coefficient of variation of soil carbon stock in mineral horizons across the Canadian National Forest Inventory plot network.,cv_pct,40.0,pct,,,not_reported,532,,40.0,reported_directly,"Reported as an approximate value ('~40%') with no dispersion, so uncertainty_type is not_reported and must stay that way. Pools within- and between-plot spatial variation; the source states the two are comparable (see VC-BPS-003), so this figure is NOT a pure between-plot term.",,false,inflates,Severely overstates for cropland. Forest soils are unploughed and retain fine-scale heterogeneity that annual tillage destroys; this is why the verified in-scope cropland CVs in this table are 9-10% against this row's 40%. Also pools within- and between-plot variation rather than isolating between-plot. Direction is certain even though magnitude is not transferable at all.,forest,unmanaged and managed forest,boreal to temperate,,,,Canada,0,30,genetic_horizon,,,,,"532 plots with repeated measurements, multiple microplots per main plot",,,"Buchkowski, R. W., Polussa, A., & Bradford, M. A. (2026). Designing national forest inventories for accurate estimation of soil carbon change. Global Change Biology, 32(4), e70868.",https://doi.org/10.1111/gcb.70868,"Abstract, sentence beginning 'Spatial variation in soil carbon stocks was substantial'",paywalled,verified_abstract,2026-08-07,false,out_of_scope_reference,,,"OUT OF SCOPE ON THREE COUNTS, and the mismatch is severe enough that this number must not be transferred to cropland: (1) forest, not cropland; (2) horizon-based sampling, not fixed depth - depth_bottom_cm 30 is a placeholder for a genetic horizon, not a measured interval; (3) an unmanaged, unploughed, spatially heterogeneous population. Tillage homogenises cropland topsoil, which is precisely why cropland CVs in this table are 9-10%, not 40%."
VC-BPS-002,between_plot_spatial,random,Coefficient of variation of soil carbon stock in ORGANIC horizons across the Canadian National Forest Inventory plot network.,cv_pct,70.0,pct,,,not_reported,532,,70.0,reported_directly,Reported as approximate ('~70%'). Retained only to bound the table. No harmonisation attempted because the quantity has no analogue in scope.,,false,inflates,"Overstates for cropland even more than VC-BPS-001, and is structurally inapplicable besides: tilled cropland topsoil has no organic (O) horizon, and organic horizons are the most spatially variable compartment measured.",forest,unmanaged and managed forest,boreal to temperate,,,,Canada,0,30,genetic_horizon,,,,,"532 plots, organic (O) horizons",,,"Buchkowski, R. W., Polussa, A., & Bradford, M. A. (2026). Designing national forest inventories for accurate estimation of soil carbon change. Global Change Biology, 32(4), e70868.",https://doi.org/10.1111/gcb.70868,"Abstract, same sentence as VC-BPS-001",paywalled,verified_abstract,2026-08-07,false,out_of_scope_reference,,,"STRUCTURALLY INAPPLICABLE, not merely out of scope. Cropland topsoil under tillage has no organic (O) horizon. This row exists so that nobody later imports '70%' as an upper bound for a cropland design."
